repository,first_commit_date,last_commit_date,active_days,duration_days,total_commits,commits_before_hackathon,userAgeYears,activeDaysLastYear,networks,mentions_x402,error_reason
https://github.com/luacantu/NodusAI-Your-Prediction-Oracle,2025-12-23,2026-01-05,2,13,33,0,5.9,7,USDC,TRUE,
https://github.com/mariocana/x402-shop,2025-12-17,2025-12-24,4,7,8,0,9.04,36,,FALSE,
https://github.com/Kshitij0O7/bitquery-x402,2025-12-22,2025-12-26,4,4,13,0,4.29,128,Base,TRUE,
https://github.com/RMS1806/X402,2025-12-26,2025-12-27,2,1,2,0,5,8,,FALSE,
https://github.com/matt-cim/x402-hackathon,2025-12-09,2025-12-27,8,18,12,0,3.86,36,,TRUE,
https://github.com/koki1610168/x402-guard,2025-12-24,2025-12-26,3,2,12,0,6.79,27,,TRUE,
https://github.com/projectyurei/x402-yurei-agent-access,2025-12-27,2025-12-28,2,1,3,0,0.31,0,Solana,TRUE,
https://github.com/lektra-labs/verifiable-compute-network,2025-12-22,2025-12-28,5,6,26,0,2.24,0,,FALSE,
https://github.com/jenniekusu/x402-answer-book,2025-12-16,2026-01-04,3,19,12,0,5.34,1,"Base, Base Sepolia",TRUE,
https://github.com/hanksfanAI/agent-native-public-goods-sustainability,2025-12-29,2025-12-31,3,2,10,0,0.62,7,,TRUE,
https://github.com/PredictionXBT/PredictOS,2025-12-16,2026-01-06,17,21,89,0,0.09,0,"Kalshi, Polymarket, Solana, Base",TRUE,
https://github.com/tatdz/everybid_mps,2025-12-18,2026-01-01,11,14,24,0,2.52,65,"Ethereum, Base",TRUE,
https://github.com/d3servelabs/labs-route-402,2025-12-22,2025-12-31,4,9,13,0,2.72,0,,TRUE,
https://github.com/d3servelabs/labs-paywall-402,2025-12-31,2026-01-05,2,5,18,0,2.72,0,"Base, Base Sepolia",TRUE,
https://github.com/jelilat/credpay-x402-demo,2026-01-02,2026-01-03,2,1,6,0,9.13,72,Base Sepolia,TRUE,
https://github.com/Dabus123/song-agent,2025-12-20,2025-12-22,3,2,12,0,3.25,9,base,TRUE,
https://github.com/lutralabs/x402-hackathon,2025-12-12,2025-12-29,6,17,23,0,2.23,0,,TRUE,
https://github.com/AvinashNayak27/x402-game,2025-12-24,2026-01-02,3,9,7,0,4.21,69,Base,TRUE,
https://github.com/Animesh-Parashar/x402-nexus,2026-01-02,2026-01-03,2,1,14,0,1.28,74,Base Sepolia,TRUE,
https://github.com/bluepageseth/bluepages_examples,2026-01-03,2026-01-03,1,0,2,0,0.02,3,"Ethereum, Base",TRUE,
https://github.com/Hyperkit-Labs/erc1066-x402,2025-12-16,2025-12-18,3,2,81,0,0.07,0,"Ethereum, Metis, Mantle, Avalanche, Solana, Sui",TRUE,
https://github.com/johnnyjclin/cumulus,2025-12-26,2026-01-03,7,8,9,0,4.7,34,Base Sepolia,TRUE,
https://github.com/d3servelabs/labs-x402-tools,2025-12-31,2026-01-04,4,4,40,0,2.72,0,,TRUE,
https://github.com/SpartanLabsXyz/x402-prediction-trading-agent,2026-01-04,2026-01-04,1,0,2,0,3.54,0,Base,TRUE,
https://github.com/prvndev/hilt,2025-12-16,2026-01-04,15,19,183,0,1.17,3,,FALSE,
https://github.com/rawgroundbeef/openfacilitator,2025-12-08,2026-01-06,12,29,79,0,12.71,241,"base-sepolia, Ethereum",TRUE,
https://github.com/capGoblin/Aegis402,2025-12-31,2026-01-05,4,5,24,0,4.92,121,Sepolia,TRUE,
https://github.com/CPC-Development/x402-hackathon,2025-12-25,2026-01-04,3,10,28,0,1.87,0,Hardhat,TRUE,
https://github.com/raid-guild/x402-facilitator-go,2025-12-09,2026-01-05,15,27,60,0,6.05,0,"Ethereum, Base, Sepolia, Base Sepolia",TRUE,
https://github.com/JhiNResH/Pincher,2025-12-27,2026-01-05,5,9,46,0,3.87,16,Base Sepolia,FALSE,
https://github.com/termixai-it/termix-x402,2026-01-04,2026-01-04,1,0,1,0,1.71,14,Base,TRUE,
https://github.com/cBloomProtocol/social-reward-engine,2026-01-03,2026-01-06,4,3,67,0,0.68,19,Base,TRUE,
https://github.com/AnkanMisra/MicroAI-Paygate,2025-12-08,2026-01-05,9,28,66,0,2.35,271,Base,TRUE,
https://github.com/OOBE-PROTOCOL/x402-synapse-rpc-server,2026-01-05,2026-01-05,1,0,1,0,0.36,0,Solana,TRUE,
https://github.com/GideonNut/Googolo,2025-12-22,2026-01-05,5,14,47,0,6.48,125,,FALSE,
https://github.com/muskiteer/Miraipay,2025-12-13,2026-01-05,6,23,21,0,1.26,84,,TRUE,
https://github.com/anthonysurfermx/voiceswap,2025-12-09,2025-12-29,8,20,17,0,2.7,36,Unichain,TRUE,
https://github.com/superfluid-org/x402-sf,2025-12-17,2026-01-05,3,19,40,0,0.96,0,Base,TRUE,
https://github.com/muhammadaus/querate-core,2025-12-28,2026-01-05,2,8,5,0,3.74,239,"Base Sepolia, Base",TRUE,
https://github.com/agentokratia/agentokratia,2025-12-15,2026-01-05,5,21,17,0,0.05,0,"Ethereum, Base",FALSE,
https://github.com/o8is/x402-swarm,2025-12-17,2026-01-05,7,19,25,0,0.16,0,"Gnosis Chain, Base, Swarm",TRUE,
https://github.com/FortuneTeller111/fortuner-app,2026-01-05,2026-01-05,1,0,10,0,0.16,0,,FALSE,
https://github.com/Agentokratia/x402-escrow,2025-12-19,2026-01-05,6,17,41,0,0.05,0,"Base Mainnet, Base Sepolia",TRUE,
https://github.com/ofemeteng/x402-shopify-app,2026-01-03,2026-01-05,2,2,8,0,9.59,31,,TRUE,
https://github.com/apoorvlathey/invite-markets,2025-12-16,2026-01-06,17,21,143,0,9.49,240,Base,TRUE,
https://github.com/olaoluwa057/AI-Assistant-x402,2026-01-05,2026-01-05,1,0,1,0,6.66,136,Base,TRUE,
https://github.com/winsznx/aetherswarm,2025-12-27,2026-01-06,6,10,131,0,5.45,110,"Base, Polygon",TRUE,
https://github.com/open-biz/polypick6,2025-12-19,2025-12-19,1,0,3,0,1.83,0,,FALSE,
https://github.com/kamalbuilds/AutoStack-DCA,2025-12-25,2026-01-06,3,12,6,0,4.07,266,"Base, Solana",TRUE,
https://github.com/PerkOS-xyz/PerkOS,2025-12-08,2025-12-14,2,6,33,0,0.1,0,"Ethereum, Base, Avalanche",TRUE,
https://github.com/galaar-org/AgentECHO,2026-01-04,2026-01-06,3,2,12,0,0.01,0,,FALSE,
https://github.com/KurtD/x402-theater,2025-12-29,2026-01-06,9,8,136,0,10.83,57,Solana,TRUE,
https://github.com/masaun/x402-private-payment-router,2025-12-10,2026-01-05,25,26,187,0,9.65,289,Aztec,TRUE,
https://github.com/galaar-org/AgentARC,2026-01-04,2026-01-06,3,2,11,0,0.01,0,Base,FALSE,
https://github.com/kaustubh76/Synapse,2025-12-20,2026-01-06,12,17,63,0,3.56,70,Base,TRUE,
https://github.com/ivaavimusic/SGL_DOCS_2025,2025-12-16,2026-01-05,2,20,2,0,3.89,261,,TRUE,
https://github.com/AIMOverse/aimo-bet,2025-12-09,2026-01-06,21,28,168,0,1.01,0,Solana,FALSE,
https://github.com/HyperionKit/HyperAgent,,,,,0,0,,,,FALSE,404: Repository not found
Check out links to our contracts and code at https://proofivy.com/about,,,,,0,0,,,,FALSE,Invalid GitHub URL format (could not parse owner/repo)
https://github.com/canza333,,,,,0,0,,,,FALSE,Invalid GitHub URL format (could not parse owner/repo)
https://github.com/KrediLoopHQ,,,,,0,0,,,,FALSE,Invalid GitHub URL format (could not parse owner/repo)
https://github.com/buildwithgrove,,,,,0,0,,,,FALSE,Invalid GitHub URL format (could not parse owner/repo)
s,,,,,0,0,,,,FALSE,Invalid GitHub URL format (could not parse owner/repo)
https://github.com/ChuXo/Eliza,,,,,0,0,,,,FALSE,404: Repository not found
https://github.com/virgen101/agent-friend,,,,,0,0,,,,FALSE,404: Repository not found
https://github.com/moss-site/,,,,,0,0,,,,FALSE,Invalid GitHub URL format (could not parse owner/repo)
https://github.com/orgs/AGIHALO,,,,,0,0,,,,FALSE,404: Repository not found
https://github.com/stars/jayantna,,,,,0,0,,,,FALSE,404: Repository not found
https://github.com/cascade-fyi/sati,,,,,0,0,,,,FALSE,404: Repository not found
https://github.com/maxsorto/x402-launchpad,,,,,0,0,,,,FALSE,404: Repository not found
https://github.com/bobbyswhip/mantraFI,,,,,0,0,,,,FALSE,404: Repository not found
https://github.com/lordshahank/promoxchange,,,,,0,0,,,,FALSE,404: Repository not found
https://github.com/alphakek-ai,,,,,0,0,,,,FALSE,Invalid GitHub URL format (could not parse owner/repo)
https://github.com/Optus-development-team,,,,,0,0,,,,FALSE,Invalid GitHub URL format (could not parse owner/repo)
"private, local Gitea",,,,,0,0,,,,FALSE,Invalid GitHub URL format (could not parse owner/repo)
https://github.com/compose-market,,,,,0,0,,,,FALSE,Invalid GitHub URL format (could not parse owner/repo)
https://go.diginomad.xyz/true-gh,,,,,0,0,,,,FALSE,Invalid GitHub URL format (could not parse owner/repo)
https://github.com/BackTrackCo,,,,,0,0,,,,FALSE,Invalid GitHub URL format (could not parse owner/repo)
https://github.com/4mica-Network/4mica-gateway,,,,,0,0,,,,FALSE,404: Repository not found
https://github.com/SymphoraArt,,,,,0,0,,,,FALSE,Invalid GitHub URL format (could not parse owner/repo)
https://github.com/orgs/x402disputes,,,,,0,0,,,,FALSE,404: Repository not found
https://github.com/kenkomu/kindred-flow,,,,,0,0,,,,FALSE,404: Repository not found
